current_uA,voltage_V
-50.0,-21.085857862885792
-49.0,-20.66054694893257
-48.0,-20.236271178720273
-47.0,-19.812001284745037
-46.0,-19.38781702056063
-45.0,-18.96355271403554
-44.0,-18.539280845416634
-43.0,-18.115035233336446
-42.0,-17.690866354697956
-41.0,-17.26659740507311
-40.0,-16.842390775738206
-39.0,-16.418216832529144
-38.0,-15.993999785379067
-37.0,-15.569831168157185
-36.0,-15.145698169941017
-35.0,-14.721521721319581
-34.0,-14.297416682240495
-33.0,-13.873333936673165
-32.0,-13.449235899666204
-31.0,-13.025158606141883
-30.0,-12.601120208055983
-29.0,-12.17714103556811
-28.0,-11.753137784797843
-27.0,-11.329170192337855
-26.0,-10.905203962599934
-25.0,-10.481276279143012
-24.0,-10.057343258495408
-23.0,-9.633453531711538
-22.0,-9.209510081258019
-21.0,-8.785551413273684
-20.0,-8.361533585276133
-19.0,-7.93739765975471
-18.0,-7.513103770105865
-17.0,-7.088501860044334
-16.0,-6.663503822454692
-15.0,-6.237766126287597
-14.0,-5.810840313186568
-13.0,-5.381793846574631
-12.0,-4.948833293702209
-11.0,-4.508104191727113
-10.0,-4.050677424890605
-9.0,-3.5673795550219842
-8.0,-3.0810977267937645
-7.0,-2.629938028335864
-6.0,-2.197561528213568
-5.0,-1.6250501814558014
-4.0,-1.1325468326067152
-3.0,-0.6018718526230377
-2.0,-0.08638734589280762
-1.0,-0.010782755527499063
0.0,0.012846564113806217
1.0,0.026404251947457952
2.0,0.06585615234116368
3.0,0.5663368999157942
4.0,0.9883597229202071
5.0,1.574809470327223
6.0,2.2994726226388473
7.0,2.791880704601295
8.0,3.234286873382332
9.0,3.6682610188265636
10.0,4.120097161520419
11.0,4.547669401520251
12.0,4.978369031379747
13.0,5.418873669980188
14.0,5.850156075737979
15.0,6.278887015761774
16.0,6.70646874758571
17.0,7.1335546359160364
18.0,7.560442330377884
19.0,7.987125208417409
20.0,8.413582171912028
21.0,8.839829286470597
22.0,9.265865258291157
23.0,9.691685663179932
24.0,10.11724637435371
25.0,10.542538657546919
26.0,10.967581900497198
27.0,11.392428337648694
28.0,11.81712237800445
29.0,12.241703958451428
30.0,12.66619466885402
31.0,13.090600386163576
32.0,13.51493321164442
33.0,13.939209593481223
34.0,14.363435049515545
35.0,14.787608944387925
36.0,15.21174359136697
37.0,15.63584880984269
38.0,16.05990984845905
39.0,16.483943911775416
40.0,16.907955773910395
41.0,17.331935899176123
42.0,17.755896747469738
43.0,18.17984077344695
44.0,18.60375431569576
45.0,19.027659395917
46.0,19.451547334454336
47.0,19.875416612448355
48.0,20.299276288997174
49.0,20.72312354821033
