current_uA,voltage_V
-50.0,-19.864433825972924
-49.0,-19.467181809832336
-48.0,-19.069892738125606
-47.0,-18.672603495527543
-46.0,-18.27531313820134
-45.0,-17.87802268314578
-44.0,-17.480734076356608
-43.0,-17.083444420150343
-42.0,-16.68615473965633
-41.0,-16.288865878221085
-40.0,-15.891575508468543
-39.0,-15.494286992208497
-38.0,-15.096997955526986
-37.0,-14.699707767682854
-36.0,-14.302417185613063
-35.0,-13.90512721579479
-34.0,-13.50783327153377
-33.0,-13.110544487109753
-32.0,-12.713249379928492
-31.0,-12.315969554527735
-30.0,-11.918659513967139
-29.0,-11.521338533645917
-28.0,-11.123998972155597
-27.0,-10.726803385846926
-26.0,-10.32927815405592
-25.0,-9.911014943798934
-24.0,-9.243033246075692
-23.0,-8.817947354152757
-22.0,-8.39222919456132
-21.0,-7.949669577559431
-20.0,-7.3800823015293515
-19.0,-6.893068057461239
-18.0,-6.498345440194134
-17.0,-6.110207312485195
-16.0,-5.726486046892969
-15.0,-4.956403697438214
-14.0,-4.375000212113516
-13.0,-4.021092228647366
-12.0,-3.670342673920783
-11.0,-3.3156395546227766
-10.0,-2.610602613860379
-9.0,-1.5801162438185745
-8.0,-1.200775093117832
-7.0,-0.6940362159870483
-6.0,-0.3339066269316817
-5.0,-0.15513729058360923
-4.0,-0.08278006436221416
-3.0,-0.013757612092190894
-2.0,0.0061313990009304676
-1.0,0.004134160677649037
0.0,0.005376718584281642
1.0,0.006605026924280435
2.0,0.007897359246956313
3.0,0.010196576865616808
4.0,0.017505027766084025
5.0,0.1585877051625361
6.0,0.3338909570454435
7.0,0.46427777452663893
8.0,0.5713394256657235
9.0,0.825837101096925
10.0,1.0548215809510442
11.0,1.5406991531036862
12.0,2.8766451535441733
13.0,4.557482200725648
14.0,5.310219472078659
15.0,5.726580863945824
16.0,6.154330466044124
17.0,6.572611787930506
18.0,6.985174485351581
19.0,7.394590248778133
20.0,7.803216683952439
21.0,8.209627068337856
22.0,8.613257765537261
23.0,9.016086344513814
24.0,9.418804255761655
25.0,9.82145789237637
26.0,10.224049063222983
27.0,10.62659748351407
28.0,11.029125430076933
29.0,11.431673378893139
30.0,11.8342514091492
31.0,12.236960193669525
32.0,12.63980673234759
33.0,13.042950789674228
34.0,13.446547770285374
35.0,13.850943228850214
36.0,14.257062173846926
37.0,14.668422920577724
38.0,15.094073397960717
39.0,15.494287763548364
40.0,15.891577062032228
41.0,16.288866903934544
42.0,16.686156665053133
43.0,17.083445910965377
44.0,17.48073455462157
45.0,17.878024255226627
46.0,18.275314031694077
47.0,18.6726032721197
48.0,19.069892915318245
49.0,19.46718287595865
