current_uA,voltage_V
-50.0,-21.151670008862173
-49.0,-20.712450572130795
-48.0,-20.27363270155929
-47.0,-19.83440500902269
-46.0,-19.394796454217484
-45.0,-18.954656123814903
-44.0,-18.514041963243056
-43.0,-18.07284483583893
-42.0,-17.631123281221768
-41.0,-17.188604876362668
-40.0,-16.74535453773353
-39.0,-16.30138705526322
-38.0,-15.856452866758824
-37.0,-15.410635849911802
-36.0,-14.963707127741213
-35.0,-14.515541735059806
-34.0,-14.06607191367931
-33.0,-13.615071140935816
-32.0,-13.162326910494452
-31.0,-12.707610869827567
-30.0,-12.250586440789702
-29.0,-11.790913843287331
-28.0,-11.328124921352275
-27.0,-10.861593771206447
-26.0,-10.390522847560359
-25.0,-9.913818669128888
-24.0,-9.429911252854767
-23.0,-8.936626788592807
-22.0,-8.430502354343604
-21.0,-7.905688136795229
-20.0,-7.3508610922301925
-19.0,-6.738346049747385
-18.0,-5.935502946624471
-17.0,-4.262227114479415
-16.0,-3.6464935963303615
-15.0,-3.269970765498455
-14.0,-2.9262371641963383
-13.0,-2.602739234387862
-12.0,-2.3053892529530082
-11.0,-2.0208459859342773
-10.0,-1.7469875052692403
-9.0,-1.4848029701209535
-8.0,-1.1490408507007763
-7.0,-0.6961043428954531
-6.0,-0.497903532275743
-5.0,-0.3353440019615324
-4.0,-0.18811613485404713
-3.0,-0.04483582459651148
-2.0,0.009067786636241349
-1.0,0.008844503517886496
0.0,0.008086464326548302
1.0,0.008515898751655863
2.0,0.009899288722431452
3.0,0.013417601885261643
4.0,0.04674509679639292
5.0,0.18537030599043605
6.0,0.31203867592932205
7.0,0.48406552017680377
8.0,0.694939933498636
9.0,0.9822502370283966
10.0,1.6243069784357753
11.0,2.9341477055612586
12.0,4.336132351805842
13.0,5.245163235674213
14.0,5.695039497052205
15.0,6.14073177254252
16.0,6.584246915315121
17.0,7.024563529089794
18.0,7.4656397890360955
19.0,7.9056723542302585
20.0,8.345136497365385
21.0,8.783979124392781
22.0,9.222159306264698
23.0,9.659879527281307
24.0,10.09707692406381
25.0,10.533854305891765
26.0,10.97025981711095
27.0,11.406264460837889
28.0,11.84193053485309
29.0,12.277304461349171
30.0,12.712377704001307
31.0,13.147176613020227
32.0,13.58174670355031
33.0,14.016077278988261
34.0,14.450155139231516
35.0,14.884134376372856
36.0,15.317870706497489
37.0,15.751421757594251
38.0,16.18483059647928
39.0,16.61808678390751
40.0,17.051193902226487
41.0,17.48419991051512
42.0,17.917070361501978
43.0,18.349801814174935
44.0,18.78240010904272
45.0,19.214938405665194
46.0,19.647360684999907
47.0,20.079701640235648
48.0,20.511942502352287
49.0,20.944120646889626
