current_uA,voltage_V
-50.0,21.152372496433458
-49.0,20.728374062160242
-48.0,20.30460689785127
-47.0,19.880823906201933
-46.0,19.457040267399478
-45.0,19.033235821711592
-44.0,18.609425441805847
-43.0,18.185595408852823
-42.0,17.76175002482017
-41.0,17.33789263251093
-40.0,16.914009217336062
-39.0,16.490117445629835
-38.0,16.066201335133776
-37.0,15.642256839765668
-36.0,15.218286049248482
-35.0,14.794283384996818
-34.0,14.37025438150092
-33.0,13.946185315018756
-32.0,13.522072616097155
-31.0,13.097917741559376
-30.0,12.673702500940264
-29.0,12.249439691611112
-28.0,11.82509828493235
-27.0,11.400687918767684
-26.0,10.976171056382128
-25.0,10.551556015273627
-24.0,10.126811327026374
-23.0,9.701913600739845
-22.0,9.27684574819164
-21.0,8.851570696534498
-20.0,8.42605158329957
-19.0,8.00028055682741
-18.0,7.574248146471361
-17.0,7.147965079203307
-16.0,6.721449084324417
-15.0,6.2945586183387405
-14.0,5.86708206684133
-13.0,5.438862039951739
-12.0,5.009582629378522
-11.0,4.578663283696978
-10.0,4.145670598210433
-9.0,3.710912585367755
-8.0,3.2741163333724703
-7.0,2.8350712700447636
-6.0,2.392967595379201
-5.0,1.945005147608593
-4.0,1.4889132106418583
-3.0,1.0222529933967763
-2.0,0.5362606150783783
-1.0,0.06698188780569488
0.0,-0.020092820376708686
1.0,-0.03579011326865602
2.0,-0.11209540114494738
3.0,-0.7115039109004446
4.0,-1.1397620855613924
5.0,-1.7349755850434216
6.0,-2.2491989601237306
7.0,-2.704947239795109
8.0,-3.2691155211975476
9.0,-3.7739115075560954
10.0,-4.19439216293846
11.0,-4.614029717275519
12.0,-5.034562202700587
13.0,-5.455670233969918
14.0,-5.877155909555506
15.0,-6.298883048185202
16.0,-6.720743671733362
17.0,-7.142782451959864
18.0,-7.564928930851457
19.0,-7.987192639854913
20.0,-8.409567371214743
21.0,-8.832057990137798
22.0,-9.254644773434501
23.0,-9.677299542618796
24.0,-10.100069495525588
25.0,-10.52288447511705
26.0,-10.945796746671173
27.0,-11.36877880372215
28.0,-11.791823080793229
29.0,-12.21495160974042
30.0,-12.638117611897428
31.0,-13.061353688839056
32.0,-13.484616892228775
33.0,-13.907934403528973
34.0,-14.331280719489746
35.0,-14.754717477252962
36.0,-15.178163511069984
37.0,-15.601630499130188
38.0,-16.02516157028345
39.0,-16.448718226592884
40.0,-16.872294214360554
41.0,-17.295921781678715
42.0,-17.71954620705216
43.0,-18.1431856047586
44.0,-18.566860800952774
45.0,-18.99056861715091
46.0,-19.41427853868937
47.0,-19.838017597313513
48.0,-20.2617553198673
49.0,-20.68551522323552
