N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
8,negativo,0.8,,,,,6832.8,OK
8,positivo,0.6,-17.0,,,,7724.5,OK
8,negativo,1.2,,,,,4553.4,OK
8,negativo,0.5,,,,,8169.9,OK
8,negativo,0.9,,,,,6449.0,OK
8,positivo,0.5,-17.0,,,,8252.8,OK
8,positivo,1.2,,,,,4824.5,OK
8,positivo,0.4,-17.0,,,,8178.9,OK
8,negativo,1.0,,,,,5896.3,OK
8,positivo,0.9,,,,,6229.2,OK
8,negativo,1.1,,,,,5331.6,OK
8,negativo,0.7,,,,,7334.3,OK
8,positivo,1.0,,,,,5815.3,OK
8,negativo,0.1,,,,,8095.5,OK
8,positivo,1.1,,,,,5282.4,OK
8,positivo,0.8,,,,,6907.9,OK
8,positivo,0.0,-15.0,27.0,,,7499.7,OK
8,negativo,0.2,,,,,8400.0,OK
8,positivo,0.1,-16.0,25.0,,,7519.1,OK
8,positivo,0.7,,,,,7366.8,OK
8,positivo,0.2,-17.0,22.0,,,8347.1,OK
8,negativo,0.6,,,,,7858.9,OK
8,negativo,0.0,,,,,7397.4,OK
8,negativo,0.3,,,,,8625.2,OK
8,negativo,0.4,,,,,8533.4,OK
8,positivo,0.3,-17.0,20.0,,,8533.7,OK
