current_µA,voltage_V
0.0,0.0
0.1,0.00027698860391406837
0.2,0.0005531736434643399
0.30000000000000004,0.0008296119177982635
0.4,0.0011063642000074302
0.5,0.0013828907210634946
0.6000000000000001,0.0016600396865945799
0.7000000000000001,0.0019373000272340545
0.8,0.0022141984598444725
0.9,0.0024923075122994364
1.0,0.002770239174167231
1.1,0.0030467116880100145
1.2000000000000002,0.003325904433363832
1.3,0.0036046984316022404
1.4000000000000001,0.0038828855501947205
1.5,0.0041623722029135455
1.6,0.0044426051647385055
1.7000000000000002,0.004722693903115445
1.8,0.005003719098460092
1.9000000000000001,0.0052842526065250035
2.0,0.005566590193665545
2.1,0.005847818686379942
2.2,0.006131779665418659
2.3000000000000003,0.006414372858046151
2.4000000000000004,0.006699237815825811
2.5,0.006982495124365254
2.6,0.007268194828685023
2.7,0.007554103017827962
2.8000000000000003,0.007840856095973544
2.9000000000000004,0.008128654129206747
3.0,0.008417261121547105
3.1,0.008706595761617123
3.2,0.008996236799856132
3.3000000000000003,0.00928738411132796
3.4000000000000004,0.009579056622188147
3.5,0.009872052408729967
3.6,0.010166401555625324
3.7,0.010461294069696567
3.8000000000000003,0.010757303928673701
3.9000000000000004,0.011054118369064213
4.0,0.011352745331160409
4.1000000000000005,0.011652438900594201
4.2,0.011953491885468223
4.3,0.012255153643794071
4.4,0.01255865482835768
4.5,0.012863272626788592
4.6000000000000005,0.013169430577107781
4.7,0.013478046309580214
4.800000000000001,0.013786542816276028
4.9,0.014097548510463107
5.0,0.01440954151151671
5.1000000000000005,0.014723189950514316
5.2,0.015039053062552628
5.300000000000001,0.015355861156163256
5.4,0.015674966646514386
5.5,0.015996046069215314
5.6000000000000005,0.01631860940311595
5.7,0.016644365079815922
5.800000000000001,0.016970536087303142
5.9,0.017299053821861383
6.0,0.017629456354480773
6.1000000000000005,0.017963041708926687
6.2,0.018298161258899586
6.300000000000001,0.018634953897682133
6.4,0.01897459609215492
6.5,0.01931711018416097
6.6000000000000005,0.01966191894287406
6.7,0.020008995218539622
6.800000000000001,0.020358763731356675
6.9,0.020711721614217974
7.0,0.021066770771048845
7.1000000000000005,0.021425298298255527
7.2,0.021787308527788533
7.300000000000001,0.022150635617454117
7.4,0.022518015537899255
7.5,0.022888470920961138
7.6000000000000005,0.023262204073919945
7.7,0.02363950137822629
7.800000000000001,0.024020786760798343
7.9,0.024405465250925216
8.0,0.024793606915756092
8.1,0.025186423997353765
8.200000000000001,0.025582377198554686
8.3,0.02598328800430967
8.4,0.026386089578184443
8.5,0.02679476545731921
8.6,0.027208811964404635
8.700000000000001,0.02762686523985711
8.8,0.02805050384178407
8.9,0.028477549188620076
9.0,0.028911122196456834
9.1,0.029348530212503724
9.200000000000001,0.02979169271503771
9.3,0.030243209404106797
9.4,0.030698377316959354
9.5,0.031160320832972703
9.600000000000001,0.03162753123031964
9.700000000000001,0.03210405239224777
9.8,0.03258480851504801
9.9,0.03307351828593745
10.0,0.03356940664003294
10.100000000000001,0.034072197206430635
10.200000000000001,0.034583738875560356
10.3,0.035106464282143875
10.4,0.03563623788585634
10.5,0.036174051303580416
10.600000000000001,0.03672275069151196
10.700000000000001,0.03728038879533468
10.8,0.0378495290778797
10.9,0.03842927479026435
11.0,0.03902099068650423
11.100000000000001,0.0396254660494727
11.200000000000001,0.04024078878755307
11.3,0.04087191988894235
11.4,0.04151496024043054
11.5,0.042176157430939505
11.600000000000001,0.042851206909973585
11.700000000000001,0.04354799692000988
11.8,0.0442564948809196
11.9,0.04499089914926915
12.0,0.045744373065456194
12.100000000000001,0.04652122756657239
12.200000000000001,0.04731920184301148
12.3,0.048144467527860745
12.4,0.04899794857468178
12.5,0.04988835392143047
12.600000000000001,0.05080995717271019
12.700000000000001,0.0517665875775471
12.8,0.05277355720332459
12.9,0.053827169223685196
13.0,0.05492953662963164
13.100000000000001,0.05609854699537408
13.200000000000001,0.05733511746598453
13.3,0.058655526370504696
13.4,0.060079943264473024
13.5,0.061629240040290044
13.600000000000001,0.06334424566746658
13.700000000000001,0.0652652896486418
13.8,0.06748863785446736
13.9,0.07016709308223244
14.0,0.07376651195751283
14.100000000000001,0.08051776776297095
14.200000000000001,1.1617874288218615
14.3,3.167991682963351
14.4,4.2050203872184175
14.5,4.89429610553557
14.600000000000001,5.371167890345783
14.700000000000001,5.7008818460933846
14.8,5.9224463170230415
14.9,6.010993437089506
15.0,6.058068387242786
15.100000000000001,6.101645723272304
15.200000000000001,6.148681764943729
15.3,6.196325018277291
15.4,6.241786610085491
15.5,6.288979395592417
15.600000000000001,6.335599165316764
15.700000000000001,6.381010311765213
15.8,6.42612608078724
15.9,6.4742128005402595
16.0,6.519499177883307
16.1,6.5648230401875365
16.2,6.610728577601244
16.3,6.658441065262877
16.400000000000002,6.705095058805265
16.5,6.74794533581032
16.6,6.79512433270783
16.7,6.842302042144031
16.8,6.8880285035406885
16.900000000000002,6.9333472162504295
17.0,6.978528012727326
17.1,7.024902907751778
17.2,7.071300818228389
17.3,7.116361001752356
17.400000000000002,7.161455819625177
17.5,7.20857294426433
17.6,7.253176080881949
17.7,7.299822276499047
17.8,7.344800753396047
17.900000000000002,7.388533787535006
18.0,7.436216727546569
18.1,7.481148639699043
18.2,7.527182223309081
18.3,7.573648826410449
18.400000000000002,7.616714103653333
18.5,7.662421895622266
18.6,7.708021837762739
18.7,7.753198886470176
18.8,7.80013745435048
18.900000000000002,7.8452478238168695
19.0,7.8902715945243855
19.1,7.935081498980864
19.200000000000003,7.97940346954013
19.3,8.025503215089143
19.400000000000002,8.070704679912891
19.5,8.116283014911312
19.6,8.162736781615344
19.700000000000003,8.206674250391975
19.8,8.251602348306902
19.900000000000002,8.297395626217288
20.0,8.341164107056215
20.1,8.3868978700427
20.200000000000003,8.433174305804506
20.3,8.477281038682424
20.400000000000002,8.522831766064492
20.5,8.568402828252383
20.6,8.612349956829318
20.700000000000003,8.657616323449899
20.8,8.70299777002844
20.900000000000002,8.747557999799062
21.0,8.792852573731384
21.1,8.837928246475549
21.200000000000003,8.882794638268486
