current_uA,voltage_V
-50.0,-20.81389261867819
-49.0,-20.37911021366092
-48.0,-19.94352532773129
-47.0,-19.507203328766
-46.0,-19.07017127630322
-45.0,-18.63234624936523
-44.0,-18.193615160558895
-43.0,-17.75390819229702
-42.0,-17.31318909653213
-41.0,-16.871264388098567
-40.0,-16.428003279293986
-39.0,-15.983366934558749
-38.0,-15.537098686397224
-37.0,-15.088912022126783
-36.0,-14.638749420286866
-35.0,-14.186259095131119
-34.0,-13.730986621988183
-33.0,-13.272706570620878
-32.0,-12.810700438224524
-31.0,-12.344209840537395
-30.0,-11.872566768333668
-29.0,-11.394362638802704
-28.0,-10.90786744009924
-27.0,-10.410800505837365
-26.0,-9.899485367019158
-25.0,-9.368544347667168
-24.0,-8.809410555975488
-23.0,-8.20691720557371
-22.0,-7.531506362726604
-21.0,-6.691249158248253
-20.0,-4.791656295994804
-19.0,-4.031608488440478
-18.0,-3.6682701622320977
-17.0,-3.3292083371201993
-16.0,-3.0112095564542054
-15.0,-2.7090545992432062
-14.0,-2.41996591630412
-13.0,-2.1428066500251397
-12.0,-1.8751309791146133
-11.0,-1.6177450931139583
-10.0,-1.3725113671502513
-9.0,-1.1192191279215589
-8.0,-0.36652820264808345
-7.0,-0.28349231662921925
-6.0,-0.21648423978246106
-5.0,-0.0741160667396216
-4.0,-0.02689629837139431
-3.0,0.00847288085061176
-2.0,0.00575273939647306
-1.0,0.004928261086299469
0.0,0.004758128844939577
1.0,0.004854370508795427
2.0,0.005197653194805475
3.0,0.006047392318593226
4.0,0.008321773085883053
5.0,0.03848600859004443
6.0,0.10415774651277586
7.0,0.10628749467547531
8.0,0.23095821093621244
9.0,0.340582824033725
10.0,0.43465987485435903
11.0,0.49687705760008627
12.0,0.7168815553495346
13.0,0.8937740635237367
14.0,1.2386256830176905
15.0,2.310476827723543
16.0,3.792969906746887
17.0,5.6454156078146
18.0,7.2389411274998166
19.0,7.680512168381852
20.0,8.119587350909557
21.0,8.557887542305142
22.0,8.995233423682372
23.0,9.431776814208325
24.0,9.86744946671892
25.0,10.302360451676487
26.0,10.73660583421495
27.0,11.170117475286814
28.0,11.602985030616564
29.0,12.035319244825455
30.0,12.467138460175413
31.0,12.898430338483653
32.0,13.329308088458397
33.0,13.759767009592924
34.0,14.189830312637447
35.0,14.619553924658705
36.0,15.048959480451195
37.0,15.478049498628696
38.0,15.906891547809309
39.0,16.33543164048229
40.0,16.76375699568574
41.0,17.19185513984507
42.0,17.619747500005666
43.0,18.047414465645524
44.0,18.474933150303762
45.0,18.902273546661032
46.0,19.329447905465496
47.0,19.756456678654448
48.0,20.183330808801475
49.0,20.610074018095144
