current_uA,voltage_V
-50.0,-21.544215593587456
-49.5,-21.32207494584459
-49.0,-21.101912222887318
-48.5,-20.88167684286583
-48.0,-20.661442591981857
-47.5,-20.441180558638592
-47.0,-20.22085872943061
-46.5,-20.000521209996627
-46.0,-19.78016810804907
-45.5,-19.55973011340982
-45.0,-19.339293999617674
-44.5,-19.118829369298414
-44.0,-18.898289417770364
-43.5,-18.6777445157942
-43.0,-18.457168914216176
-42.5,-18.236521924074687
-42.0,-18.01582719386553
-41.5,-17.79513862185926
-41.0,-17.574398282209806
-40.5,-17.353552326031654
-40.0,-17.132723011268613
-39.5,-16.91186911930986
-39.0,-16.690907135709402
-38.5,-16.469868166450528
-38.0,-16.248894998607668
-37.5,-16.02778532754017
-37.0,-15.80668806933093
-36.5,-15.585482877154657
-36.0,-15.364258887761366
-35.5,-15.142972264827502
-35.0,-14.921573948703667
-34.5,-14.700149719198011
-34.0,-14.47872791324069
-33.5,-14.257159881155962
-33.0,-14.035490186961228
-32.5,-13.813852552246084
-32.0,-13.592116018322631
-31.5,-13.370297736632129
-31.0,-13.148335592772227
-30.5,-12.926371974196393
-30.0,-12.704313407148662
-29.5,-12.482151679706927
-29.0,-12.259947271350775
-28.5,-12.037552858148853
-28.0,-11.815114778345047
-27.5,-11.592573166244042
-27.0,-11.369847043924162
-26.5,-11.146992903229023
-26.0,-10.924113621865056
-25.5,-10.70104933646348
-25.0,-10.47774583463115
-24.5,-10.254304005934737
-24.0,-10.030701982627527
-23.5,-9.80690042599562
-23.0,-9.582952502786142
-22.5,-9.358736653663483
-22.0,-9.134121622733943
-21.5,-8.90946849209142
-21.0,-8.68440144165302
-20.5,-8.458731016352116
-20.0,-8.232919787543947
-19.5,-8.006697158110775
-19.0,-7.7796849556206515
-18.5,-7.552464681593253
-18.0,-7.324149696201845
-17.5,-7.095157508335636
-17.0,-6.865511819167954
-16.5,-6.633919997342635
-16.0,-6.401249797527187
-15.5,-6.16731920087261
-15.0,-5.930382447291576
-14.5,-5.691440193345335
-14.0,-5.449062390522777
-13.5,-5.201292886179381
-13.0,-4.949143099564027
-12.5,-4.689475701215935
-12.0,-4.423038844902
-11.5,-4.149252228834283
-11.0,-3.8768427365122915
-10.5,-3.6055968903145463
-10.0,-3.344760857939562
-9.5,-3.095425417983961
-9.0,-2.856582997771036
-8.5,-2.632147035518326
-8.0,-2.417795657465351
-7.5,-2.2235888281749228
-7.0,-2.022231659848123
-6.5,-1.8272730351264708
-6.0,-1.646051125545028
-5.5,-1.4610656663850554
-5.0,-1.2873500651837317
-4.5,-1.0930551736802396
-4.0,-0.9329940069770393
-3.5,-0.7147069682204163
-3.0,-0.5387227913268441
-2.5,-0.2988706719937931
-2.0,-0.13331274359010392
-1.5,-0.03356179210104143
-1.0,-0.011850060924349613
-0.5,-0.0032860399506532086
0.0,0.004355646154504358
0.5,0.01483779614481332
1.0,0.02361108944188143
1.5,0.03439117599018746
2.0,0.07322029284427846
2.5,0.33341470789206373
3.0,0.5018399929078367
3.5,0.8025228537425688
4.0,1.0872742246248037
4.5,1.5024823378071728
5.0,1.9149288045978694
5.5,2.1706757156316177
6.0,2.396790858710793
6.5,2.6213370515907117
7.0,2.840593071836437
7.5,3.06567629376275
8.0,3.2894235819881685
8.5,3.5096499355676025
9.0,3.7309170569104273
9.5,3.95343550594034
10.0,4.174693360893844
10.5,4.395167665737405
11.0,4.615505450551768
11.5,4.836535586948817
12.0,5.057044737407008
12.5,5.278176317908456
13.0,5.4985728303824795
13.5,5.719385086501556
14.0,5.938969386807586
14.5,6.159655169335135
15.0,6.379561186080671
15.5,6.599723039536887
16.0,6.820064373439185
16.5,7.039785564140791
17.0,7.259663923759474
17.5,7.479667995339776
18.0,7.699632526911266
18.5,7.919411754275021
19.0,8.139048188072769
19.5,8.358761092227725
20.0,8.57877065581697
20.5,8.798451771383558
21.0,9.017833049492955
21.5,9.237301416394681
22.0,9.457050066060203
22.5,9.676598985607955
23.0,9.895857173729919
23.5,10.115530239465555
24.0,10.334953932621689
24.5,10.554426804022965
25.0,10.773842155824132
25.5,10.993208175194997
26.0,11.212586597558326
26.5,11.43196273306181
27.0,11.651159651251811
27.5,11.87043201259828
28.0,12.089653694516063
28.5,12.3089228823215
29.0,12.528132017283102
29.5,12.747348212791056
30.0,12.966510629908232
30.5,13.185595086261593
31.0,13.404672007307669
31.5,13.623798970847602
32.0,13.842926009749029
32.5,14.061994486061076
33.0,14.281035163850193
33.5,14.500059205678552
34.0,14.719061203398402
34.5,14.938077473709045
35.0,15.157054067195258
35.5,15.376020088347527
36.0,15.59498268525302
36.5,15.813928197060495
37.0,16.032838116191904
37.5,16.251753784641842
38.0,16.470617956233184
38.5,16.689506452235612
39.0,16.908386074860577
39.5,17.127250143563582
40.0,17.346058182683855
40.5,17.564918588435216
41.0,17.783724710936106
41.5,18.0025302536636
42.0,18.221309858791738
42.5,18.440101471776256
43.0,18.65887081730768
43.5,18.877623618047316
44.0,19.09637942185415
44.5,19.315113410650614
45.0,19.533834071440005
45.5,19.752542888019406
46.0,19.97125925730279
46.5,20.189951569829386
47.0,20.408632437513567
47.5,20.62731868836711
48.0,20.845978590104615
48.5,21.064645986406624
49.0,21.283289792866537
49.5,21.501920227330807
