current_uA,voltage_V
-50.0,-19.69934199758969
-49.0,-19.328609913070377
-48.0,-18.90007473722968
-47.0,-18.468864366354982
-46.0,-18.042048825972753
-45.0,-17.615810330403274
-44.0,-17.18890249945363
-43.0,-16.760889080243572
-42.0,-16.331457841339756
-41.0,-15.900358857180906
-40.0,-15.467439944427609
-39.0,-15.032385840533793
-38.0,-14.594712287556815
-37.0,-14.153968327230366
-36.0,-13.70956288910017
-35.0,-13.260593291041706
-34.0,-12.80613313379107
-33.0,-12.344965984600272
-32.0,-11.875627906184674
-31.0,-11.396254766145816
-30.0,-10.904685002782891
-29.0,-10.397410211772378
-28.0,-9.869431896098494
-27.0,-9.310725543801993
-26.0,-8.698647682833156
-25.0,-7.8404288823310715
-24.0,-6.484290862442036
-23.0,-6.063337735027782
-22.0,-5.663931734869987
-21.0,-5.278103302633355
-20.0,-4.904459547439439
-19.0,-4.54223523445537
-18.0,-4.1904577761106205
-17.0,-3.848853064769011
-16.0,-3.5167942007233157
-15.0,-3.194164747330676
-14.0,-2.8805935294902407
-13.0,-2.5736483293520735
-12.0,-2.261907051525733
-11.0,-1.9351903451656065
-10.0,-0.3650494599228917
-9.0,-0.2336162055309646
-8.0,-0.07725783895214898
-7.0,-0.07639987232614077
-6.0,-0.03357136155589439
-5.0,0.004361036633002628
-4.0,0.0039957332799123
-3.0,0.003270098083299521
-2.0,0.003002940007485579
-1.0,0.002900895158809013
0.0,0.002899624228476773
1.0,0.002981898077480037
2.0,0.003131274820843861
3.0,0.003345737969240244
4.0,0.0036718440250291264
5.0,0.004220409560276287
6.0,0.005249567887327296
7.0,0.007687888421315102
8.0,0.11748138404757963
9.0,0.17936402255021539
10.0,0.24781970589421964
11.0,0.3182146178247482
12.0,0.3618970556532908
13.0,0.41298826928537996
14.0,0.48663067873278126
15.0,0.56382107798845
16.0,0.6440797952550786
17.0,1.479422283867413
18.0,2.0724142069610583
19.0,3.986276310133316
20.0,5.498516925539629
21.0,7.20811313804122
22.0,8.363556726510108
23.0,8.78969947565688
24.0,9.20757202403342
25.0,9.62417324057049
26.0,10.03965380767613
27.0,10.45409909573751
28.0,10.867576348204091
29.0,11.280183181012896
30.0,11.691984197981187
31.0,12.10304865300746
32.0,12.513474008278923
33.0,12.923301830557241
34.0,13.332649108675152
35.0,13.741577627565492
36.0,14.150140817593078
37.0,14.558451981118349
38.0,14.966604453375362
39.0,15.374768225203221
40.0,15.783086494261068
41.0,16.191941982046735
42.0,16.601955244426094
43.0,17.015025617032517
44.0,17.440988541077193
45.0,17.877962431946752
46.0,18.27531367523825
47.0,18.672604069909372
48.0,19.069892412004613
49.0,19.467182769005774
