current_uA,voltage_V
-50.0,-21.46882068758034
-49.0,-21.030003369714898
-48.0,-20.59312440453748
-47.0,-20.156153835699943
-46.0,-19.71911420998685
-45.0,-19.281876053927917
-44.0,-18.844634155109848
-43.0,-18.40717445501612
-42.0,-17.9696190632329
-41.0,-17.531971578701956
-40.0,-17.09409608543173
-39.0,-16.65613609671588
-38.0,-16.218018479524243
-37.0,-15.779708770876967
-36.0,-15.341251157491872
-35.0,-14.902653035129598
-34.0,-14.46383908548681
-33.0,-14.024819126342363
-32.0,-13.585642760975242
-31.0,-13.146260865077712
-30.0,-12.706629325038236
-29.0,-12.266758456385817
-28.0,-11.826662144801768
-27.0,-11.386322391343333
-26.0,-10.945698900597344
-25.0,-10.504755522564091
-24.0,-10.063490168448148
-23.0,-9.62184163094497
-22.0,-9.179788013527885
-21.0,-8.737268879719512
-20.0,-8.294131420314779
-19.0,-7.850178994094851
-18.0,-7.4051964876233525
-17.0,-6.958626755224862
-16.0,-6.509894804997032
-15.0,-6.057527203664749
-14.0,-5.599086230523483
-13.0,-5.130749590460376
-12.0,-4.645225399627278
-11.0,-4.135981417556272
-10.0,-3.616950976939901
-9.0,-3.120860727356054
-8.0,-2.6654952088657233
-7.0,-2.2454526959381
-6.0,-1.848986461269257
-5.0,-1.4646038271522166
-4.0,-1.0677927246674077
-3.0,-0.5877285199326064
-2.0,-0.1349057810734921
-1.0,-0.023308119981304012
0.0,0.012211773617676584
1.0,0.03008784006867694
2.0,0.08337139906240404
3.0,0.5907164849082882
4.0,1.066716218564766
5.0,1.6839589723381365
6.0,2.393588787141697
7.0,2.858593051048839
8.0,3.3058038659767695
9.0,3.7519794475603185
10.0,4.194234762580082
11.0,4.635574305719054
12.0,5.07548410849241
13.0,5.514105149357852
14.0,5.95213666997938
15.0,6.3896564694907925
16.0,6.826933751707748
17.0,7.263776584724771
18.0,7.70038027529845
19.0,8.136811808458717
20.0,8.572954430041015
21.0,9.00897277199623
22.0,9.444788066522973
23.0,9.880518210653014
24.0,10.316085084741948
25.0,10.751541869763726
26.0,11.186889682826335
27.0,11.622131910076893
28.0,12.057313519864598
29.0,12.492420058856817
30.0,12.927446642174933
31.0,13.362390772752228
32.0,13.797288233617767
33.0,14.23211612068268
34.0,14.66689770857392
35.0,15.101622386855079
36.0,15.536299060735228
37.0,15.97092751620034
38.0,16.405511476826483
39.0,16.84006236298076
40.0,17.27457995140004
41.0,17.709046460433203
42.0,18.143484800493386
43.0,18.577900890113774
44.0,19.012279040410267
45.0,19.44662488063695
46.0,19.880954115900614
47.0,20.31524979572039
48.0,20.74951943036291
49.0,21.18377817394857
