current_uA,voltage_V
-50.0,21.312381695197043
-49.0,20.87887205227505
-48.0,20.444832809799717
-47.0,20.01061788148227
-46.0,19.576226155599986
-45.0,19.141629402180968
-44.0,18.706847789632995
-43.0,18.271812913695275
-42.0,17.83660708565719
-41.0,17.401074099510442
-40.0,16.96528312337144
-39.0,16.529218624879615
-38.0,16.092805924338276
-37.0,15.656076082742684
-36.0,15.218960518574661
-35.0,14.781445058575711
-34.0,14.343497386956171
-33.0,13.905059815054623
-32.0,13.46612194286445
-31.0,13.026598882768122
-30.0,12.586485545331477
-29.0,12.1456853984068
-28.0,11.704137706243689
-27.0,11.26178007754344
-26.0,10.818552008598393
-25.0,10.374297463834061
-24.0,9.9288866678473
-23.0,9.48231412239365
-22.0,9.034355459436753
-21.0,8.58472798319766
-20.0,8.133472109721707
-19.0,7.680229764459567
-18.0,7.224427399838165
-17.0,6.766804578083245
-16.0,6.30567859424588
-15.0,5.841144686017179
-14.0,5.37286687959814
-13.0,4.898926814136948
-12.0,4.4201332843898005
-11.0,3.9314976558245345
-10.0,3.4371579009719144
-9.0,2.9237494759695672
-8.0,2.32455892391017
-7.0,1.2203629097666535
-6.0,0.1475430815499774
-5.0,0.029337684967993223
-4.0,-0.007156802292587747
-3.0,-0.007369052406763416
-2.0,-0.006647002116769648
-1.0,-0.0059991387121888
0.0,-0.005637943265109479
1.0,-0.0057647915602246315
2.0,-0.006340676692131409
3.0,-0.007479769951662296
4.0,-0.01051189113137898
5.0,-0.0669560725975759
6.0,-0.23582619161429624
7.0,-0.3137071524427585
8.0,-0.41772450788039056
9.0,-0.5155512475367141
10.0,-0.6275193744786228
11.0,-0.7517216662530611
12.0,-0.8798281895248742
13.0,-1.0464638835949842
14.0,-1.253980686362996
15.0,-1.4856672625842675
16.0,-1.7447495708435945
17.0,-2.07272931203311
18.0,-2.4425018367196953
19.0,-2.866425801526853
20.0,-3.358121046420617
21.0,-3.973638168156387
22.0,-5.234512138231812
23.0,-8.366814187284254
24.0,-9.139794837300071
25.0,-9.658135185458315
26.0,-10.162605417549786
27.0,-10.656736835901768
28.0,-11.142621746622355
29.0,-11.621833592736602
30.0,-12.095644889055395
31.0,-12.564897281302464
32.0,-13.030333738107464
33.0,-13.492504133697306
34.0,-13.951946254906261
35.0,-14.408975219023041
36.0,-14.863898472126845
37.0,-15.316995010798744
38.0,-15.768458619496153
39.0,-16.218395103376558
40.0,-16.66703026827982
41.0,-17.114506832707924
42.0,-17.5608504726598
43.0,-18.006277964831213
44.0,-18.450816560785867
45.0,-18.89450087468003
46.0,-19.33750136713643
47.0,-19.779753051042917
48.0,-20.221429222176308
49.0,-20.66244341710574
