current_uA,voltage_V
-50.0,21.346944257717908
-49.0,20.913960048401858
-48.0,20.48097886388662
-47.0,20.047872551187133
-46.0,19.614647031727163
-45.0,19.18125714773102
-44.0,18.747748882885105
-43.0,18.31404816576279
-42.0,17.880197491316924
-41.0,17.446212878990334
-40.0,17.0120034622513
-39.0,16.577624096543
-38.0,16.143022777329342
-37.0,15.708143153039492
-36.0,15.27309736267957
-35.0,14.837747547129108
-34.0,14.402110551759307
-33.0,13.966182488345549
-32.0,13.52991490751815
-31.0,13.093281900712672
-30.0,12.656279881093557
-29.0,12.218835351718775
-28.0,11.780928545283867
-27.0,11.342520480816955
-26.0,10.903564348910637
-25.0,10.464044387195026
-24.0,10.023852130886425
-23.0,9.582923035188506
-22.0,9.141241458965428
-21.0,8.698662780217676
-20.0,8.255154330417852
-19.0,7.810671345391087
-18.0,7.364944341066678
-17.0,6.918036411679519
-16.0,6.4700887356103385
-15.0,6.020215192929973
-14.0,5.569352683869426
-13.0,5.116270567573532
-12.0,4.658945440140427
-11.0,4.19654815426967
-10.0,3.7295255564189222
-9.0,3.238080324324643
-8.0,2.67468159834957
-7.0,2.040805423704195
-6.0,1.2493849838221003
-5.0,0.38117450368431144
-4.0,0.054577141018739714
-3.0,-0.001592399430602047
-2.0,-0.007571450120917377
-1.0,-0.0083763854661864
0.0,-0.00789979056848932
1.0,-0.007523176141410554
2.0,-0.008389737289394779
3.0,-0.011320190736366849
4.0,-0.04182469933521974
5.0,-0.26049140757537004
6.0,-0.38654860581319583
7.0,-0.4684253988729746
8.0,-0.6042635884018893
9.0,-0.7424238482028821
10.0,-0.8902752059802593
11.0,-1.1135947587481867
12.0,-1.4786836031698865
13.0,-1.8597086971294334
14.0,-2.1396438944190956
15.0,-2.449027643664323
16.0,-2.7866321069031565
17.0,-3.1525992795014237
18.0,-3.562202738328679
19.0,-4.042118480841174
20.0,-4.746677567339464
21.0,-6.357664469646786
22.0,-8.210826161316064
23.0,-8.750372631596807
24.0,-9.267205622771451
25.0,-9.769512714086188
26.0,-10.261208049588626
27.0,-10.74464923096753
28.0,-11.221650210070058
29.0,-11.693390167814036
30.0,-12.160751268763358
31.0,-12.624475421919795
32.0,-13.085137207111245
33.0,-13.543141943033483
34.0,-13.998914149095853
35.0,-14.452603943921186
36.0,-14.904599758642805
37.0,-15.354995914966516
38.0,-15.803969128843637
39.0,-16.25176526197683
40.0,-16.69840059407134
41.0,-17.143989553201042
42.0,-17.588772846266444
43.0,-18.032584042386837
44.0,-18.47572242279531
45.0,-18.918166964166456
46.0,-19.35981326254416
47.0,-19.80104946468348
48.0,-20.24158573544727
49.0,-20.681730130855737
