current_uA,voltage_V
-50.0,19.86447210980965
-49.0,19.467182769466174
-48.0,19.069892931321974
-47.0,18.672603432422058
-46.0,18.27531425964182
-45.0,17.878024848395007
-44.0,17.48073514710042
-43.0,17.083445867782487
-42.0,16.686156547204302
-41.0,16.288866968117873
-40.0,15.891577259460593
-39.0,15.49428797979303
-38.0,15.096998342092505
-37.0,14.699708553901878
-36.0,14.302419802853075
-35.0,13.905130007263711
-34.0,13.507840913928385
-33.0,13.110551352677906
-32.0,12.713261908119843
-31.0,12.315972917710043
-30.0,11.918683856782565
-29.0,11.521394073842114
-28.0,11.124102952045192
-27.0,10.726814895439668
-26.0,10.329523791811571
-25.0,9.932234937355192
-24.0,9.53494576615544
-23.0,9.137654352858403
-22.0,8.74036152287995
-21.0,8.343045904519974
-20.0,7.9457210546779
-19.0,7.5479337734517555
-18.0,7.1379661586283145
-17.0,6.732803619512157
-16.0,6.333939420666668
-15.0,5.934966570629914
-14.0,5.535833136053978
-13.0,5.136439215487564
-12.0,4.736710641687487
-11.0,4.336504087017499
-10.0,3.9356207586069054
-9.0,3.501086776252627
-8.0,3.0816186947672364
-7.0,2.6685646138908
-6.0,2.2572749250927395
-5.0,1.8438212109428291
-4.0,1.3912104595538144
-3.0,0.9091731166735413
-2.0,0.4230623006141357
-1.0,0.022579999198082828
0.0,-0.009191708953030035
1.0,-0.021734723677823715
2.0,-0.05175929483915497
3.0,-0.500432794216276
4.0,-0.831263024187155
5.0,-1.2709067614833711
6.0,-1.7851906223206835
7.0,-2.339737071347879
8.0,-2.8691561761816695
9.0,-3.3401916204161823
10.0,-3.841376085183996
11.0,-4.234406408537652
12.0,-4.650874174791392
13.0,-5.059496760847959
14.0,-5.463056714429938
15.0,-5.863826826917641
16.0,-6.263169959203077
17.0,-6.661650220965289
18.0,-7.05973376863629
19.0,-7.457597788086012
20.0,-7.855384907582905
21.0,-8.25325306576071
22.0,-8.651253278510914
23.0,-9.049557279061224
24.0,-9.448125637855728
25.0,-9.847110965405147
26.0,-10.246668197028862
27.0,-10.64701185497419
28.0,-11.048513377768582
29.0,-11.452361612540702
30.0,-11.863531624308346
31.0,-12.307897774647254
32.0,-12.713259643174178
33.0,-13.110546812338937
34.0,-13.507837000360679
35.0,-13.905126939219592
36.0,-14.30241889948258
37.0,-14.699706621967195
38.0,-15.096997378498058
39.0,-15.494286970942783
40.0,-15.891576823866453
41.0,-16.288866302309884
42.0,-16.686155277700827
43.0,-17.08344380814289
44.0,-17.480735723192037
45.0,-17.878024327017307
46.0,-18.275313796402525
47.0,-18.672602941689632
48.0,-19.069891875433765
49.0,-19.467182181471493
