N_peine,polaridad,B_mT,Jc1_uA,Jc2_uA,eta_c1_pct,eta_c2_pct,tiempo_s,estado
10,negativo,0.3,,,,,10392.5,OK
10,negativo,0.4,,,,,10427.1,OK
10,positivo,0.8,,,,,9197.8,OK
10,negativo,0.6,,,,,9994.5,OK
10,positivo,0.9,,,,,9043.6,OK
10,positivo,0.2,-15.0,22.0,,,10048.4,OK
10,negativo,0.5,,,,,10228.2,OK
10,positivo,1.2,,,,,6837.4,OK
10,negativo,0.2,,,,,9994.2,OK
10,negativo,1.0,,,,,8159.4,OK
10,negativo,0.8,,,,,9229.5,OK
10,positivo,0.1,-15.0,24.0,,,9240.0,OK
10,negativo,0.0,,,,,8813.4,OK
10,negativo,0.1,,,,,9559.2,OK
10,negativo,1.1,,,,,7651.1,OK
10,positivo,0.0,-14.0,27.0,,,8981.8,OK
10,positivo,0.4,-16.0,17.0,,,10482.6,OK
10,positivo,0.6,-16.0,,,,9964.4,OK
10,positivo,0.3,-16.0,19.0,,,10293.0,OK
10,negativo,0.7,,,,,9857.3,OK
10,positivo,1.1,,,,,7412.2,OK
10,negativo,0.9,,,,,8764.5,OK
10,positivo,0.7,,,,,9541.6,OK
10,positivo,0.5,-16.0,,,,10202.7,OK
10,negativo,1.2,,,,,6514.4,OK
10,positivo,1.0,,,,,8213.1,OK
