current_uA,voltage_V
-50.0,-21.291045005279702
-49.0,-20.848096188548638
-48.0,-20.40531770178841
-47.0,-19.962106642409662
-46.0,-19.51843237680429
-45.0,-19.07427841980277
-44.0,-18.629587566925338
-43.0,-18.184358290519132
-42.0,-17.738471856951982
-41.0,-17.29199400270737
-40.0,-16.844775421657697
-39.0,-16.39675097496698
-38.0,-15.947900540603873
-37.0,-15.498171405472007
-36.0,-15.047380346574974
-35.0,-14.595476529784115
-34.0,-14.142295906745012
-33.0,-13.687821704312293
-32.0,-13.231767160316755
-31.0,-12.774068284412609
-30.0,-12.314357309086734
-29.0,-11.852505066339512
-28.0,-11.388101306098967
-27.0,-10.920552056183677
-26.0,-10.449378846822361
-25.0,-9.973687805478413
-24.0,-9.492170039546293
-23.0,-9.003364501266507
-22.0,-8.504474308574478
-21.0,-7.991068389563089
-20.0,-7.455707026006836
-19.0,-6.882033559089858
-18.0,-6.226283163100177
-17.0,-5.202290714583737
-16.0,-2.8842916584565805
-15.0,-2.42768512264345
-14.0,-2.1230278296889242
-13.0,-1.8518324884508084
-12.0,-1.622481207684584
-11.0,-1.4065163275346513
-10.0,-1.2208015469998454
-9.0,-1.04091620347185
-8.0,-0.8496285449207492
-7.0,-0.6856210332244093
-6.0,-0.5171496870320518
-5.0,-0.3652905195208396
-4.0,-0.20320715914383516
-3.0,-0.04098135951017775
-2.0,0.013745070391257238
-1.0,0.010390768499623766
0.0,0.00876300696793744
1.0,0.011608236895297858
2.0,0.009178051391479165
3.0,0.013597393396759076
4.0,0.03702863651476141
5.0,0.24632137413228872
6.0,0.40504355354469
7.0,0.5382556569017173
8.0,0.7166569544592298
9.0,1.1518638699982975
10.0,2.060082151948307
11.0,3.4479826205004205
12.0,4.639843054199852
13.0,5.165443638807522
14.0,5.6205508628801555
15.0,6.074434829566549
16.0,6.526427680887269
17.0,6.976823285661481
18.0,7.425914116162577
19.0,7.874037474435372
20.0,8.320934550002443
21.0,8.766995032962097
22.0,9.212223324141478
23.0,9.656767882972503
24.0,10.100468152381366
25.0,10.543712958494128
26.0,10.986269975884872
27.0,11.428451766625136
28.0,11.870024988769009
29.0,12.311162040065717
30.0,12.75194258473739
31.0,13.19228290646372
32.0,13.63233015386674
33.0,14.072021123690893
34.0,14.511399599622195
35.0,14.950523767415453
36.0,15.389377031145003
37.0,15.82797520489333
38.0,16.266351225499243
39.0,16.704517724171584
40.0,17.142462843716586
41.0,17.58024092529975
42.0,18.01782737239614
43.0,18.45525152807497
44.0,18.892527536737045
45.0,19.329635055820248
46.0,19.76663232448615
47.0,20.203462244859484
48.0,20.64019208205273
49.0,21.076786585324655
