N_crestas,promedio_positivo,promedio_negativo,promedio_global
2,72.55831543038902,67.014177455473,69.786246442931
4,76.51633337874226,65.40243316261416,70.95938327067822
6,76.26428243139118,61.73942949961049,69.00185596550084
8,76.79436638252777,63.8127558715794,70.30356112705358
10,75.57451409544593,65.97774020850945,70.77612715197769
