current_uA,voltage_V
-50.0,21.658577809201066
-49.0,21.219352382541373
-48.0,20.78072271177255
-47.0,20.34202533494684
-46.0,19.903252489771766
-45.0,19.464361680231008
-44.0,19.025394212208244
-43.0,18.58630207127421
-42.0,18.14712803408322
-41.0,17.707815159213933
-40.0,17.26843054710783
-39.0,16.828898868701998
-38.0,16.38918570744668
-37.0,15.949411624036543
-36.0,15.509521043727423
-35.0,15.069363313703679
-34.0,14.629153246570555
-33.0,14.188692638305296
-32.0,13.748056065309331
-31.0,13.307232651581135
-30.0,12.866267734890902
-29.0,12.425176763240689
-28.0,11.983613087118682
-27.0,11.541992175804097
-26.0,11.100156337391256
-25.0,10.657688096095267
-24.0,10.215326160321327
-23.0,9.772317265972715
-22.0,9.329249103129742
-21.0,8.885797974649199
-20.0,8.44129470450742
-19.0,7.9964360928701
-18.0,7.552340914682683
-17.0,7.106152529513066
-16.0,6.660246754109077
-15.0,6.211588321839395
-14.0,5.762388625715851
-13.0,5.315886470544291
-12.0,4.863404261925685
-11.0,4.415262833050798
-10.0,3.957580979484727
-9.0,3.506093862263126
-8.0,3.0421150075299934
-7.0,2.5827679099645686
-6.0,2.120727850174306
-5.0,1.6517946500737128
-4.0,1.0669172159457585
-3.0,0.19108861019563186
-2.0,0.03373387425301969
-1.0,-0.011735201186188681
0.0,-0.008108266383063523
1.0,-0.010707868625006695
2.0,-0.018073191590497584
3.0,-0.05537800000759791
4.0,-0.42657043478460505
5.0,-0.6269781219890901
6.0,-0.8696603573476597
7.0,-1.0907844897431118
8.0,-1.2907518026196692
9.0,-1.5207541809764844
10.0,-1.7732865639473978
11.0,-2.0322510309629505
12.0,-2.3362068131336566
13.0,-2.6802785560847133
14.0,-3.0953845375135662
15.0,-3.723779305454324
16.0,-4.9825394124630265
17.0,-6.22263437705781
18.0,-6.804637675444549
19.0,-7.333694320241268
20.0,-7.837791863156991
21.0,-8.328731433481181
22.0,-8.809487094297568
23.0,-9.284184708216092
24.0,-9.752936923255191
25.0,-10.218534464234162
26.0,-10.6802782115328
27.0,-11.13995204661756
28.0,-11.597563110249192
29.0,-12.05330118232157
30.0,-12.507762074078094
31.0,-12.960569595985326
32.0,-13.41275072317567
33.0,-13.863794989674501
34.0,-14.31388147716212
35.0,-14.763206764496651
36.0,-15.211900385569207
37.0,-15.65994148922688
38.0,-16.107438092337784
39.0,-16.554339365049444
40.0,-17.00073618972784
41.0,-17.446895767523763
42.0,-17.892471847332576
43.0,-18.337694608126824
44.0,-18.782556739552444
45.0,-19.227072143626362
46.0,-19.671254055328873
47.0,-20.115156797233777
48.0,-20.558792394997894
49.0,-21.00211538672693
